Real part, Imag part
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
2.509814,0.000000
